"game_date","game","player_id","player_name","team_abbreviation","shot_type","shot_player","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-05-08,"GSV @ SEA","203866","Kayla Thornton","GSV","other","Kayla Thornton other",2026-05-08 16:44:49.105987,"fd",0.0357,2700,0.0037,0.0019,0.1941,0.0395,2434,0.289701492537313
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL","layup","Breanna Stewart layup",2026-05-08 17:36:57.129446,"fd",0.0667,1400,-0.0169,-0.009,-0.9034,0.0498,1908,-1.34835820895522
2026-05-08,"CON @ NYL","1627668","Breanna Stewart","NYL","other","Breanna Stewart other",2026-05-08 17:36:57.129446,"fd",0.0556,1700,-0.0053,-0.0028,-0.2805,0.0503,1890,-0.41865671641791
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL","layup","Jonquel Jones layup",2026-05-08 17:36:57.129446,"fd",0.0588,1600,-0.0127,-0.0067,-0.6734,0.0461,2067,-1.00507462686567
2026-05-08,"CON @ NYL","1627673","Jonquel Jones","NYL","other","Jonquel Jones other",2026-05-08 17:36:57.129446,"fd",0.0323,3000,-0.0015,-8e-04,-0.0785,0.0307,3153,-0.117164179104478
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL","layup","Marine Johannes layup",2026-05-08 17:36:57.129446,"fd",0.0196,5000,1e-04,1e-04,0.0069,0.0197,4965,0.0102985074626866
2026-05-08,"CON @ NYL","1629546","Marine Johannes","NYL","other","Marine Johannes other",2026-05-08 17:36:57.129446,"fd",0.0217,4500,-0.0053,-0.0027,-0.2706,0.0164,5981,-0.403880597014925
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON","layup","Kennedy Burke layup",2026-05-08 17:36:57.129446,"fd",0.0526,1800,-0.0164,-0.0087,-0.8676,0.0362,2663,-1.29492537313433
2026-05-08,"CON @ NYL","1629568","Kennedy Burke","CON","other","Kennedy Burke other",2026-05-08 17:36:57.129446,"fd",0.0196,5000,-0.0016,-8e-04,-0.0799,0.018,5443,-0.119253731343284
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON","layup","Aneesah Morrow layup",2026-05-08 17:36:57.129446,"fd",0.0909,1000,-0.0495,-0.0272,-2.7199,0.0415,2312,-4.05955223880597
2026-05-08,"CON @ NYL","1642800","Aneesah Morrow","CON","other","Aneesah Morrow other",2026-05-08 17:36:57.129446,"fd",0.0435,2200,-0.0183,-0.0096,-0.957,0.0252,3873,-1.42835820895522
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON","layup","Saniya Rivers layup",2026-05-08 17:36:57.129446,"fd",0.0323,3000,-0.0023,-0.0012,-0.1184,0.03,3237,-0.176716417910448
2026-05-08,"CON @ NYL","1642809","Saniya Rivers","CON","other","Saniya Rivers other",2026-05-08 17:36:57.129446,"fd",0.0435,2200,-0.0147,-0.0077,-0.7704,0.0287,3379,-1.14985074626866
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON","layup","Brittney Griner layup",2026-05-08 17:36:57.129446,"fd",0.0769,1200,-0.0163,-0.0088,-0.8809,0.0607,1549,-1.31477611940298
2026-05-08,"CON @ NYL","203398","Brittney Griner","CON","other","Brittney Griner other",2026-05-08 17:36:57.129446,"fd",0.1176,750,-0.0479,-0.0272,-2.7155,0.0697,1334,-4.05298507462687
