"game_date","game","player_id","player_name","team_abbreviation","shot_type","shot_player","run_timestamp_utc","site","prob","line","edge","kelly","units","prob_model","line_model","units_standardized"
2026-06-05,"DAL @ LAS","1629481","Arike Ogunbowale","DAL","three point field goal","Arike Ogunbowale three point field goal",2026-06-05 16:21:41.113675,"dk",0.0714,1300,-0.0126,-0.0068,-0.6793,0.0588,1600,-0.492246376811594
2026-06-05,"DAL @ LAS","1629481","Arike Ogunbowale","DAL","two point field goal","Arike Ogunbowale two point field goal",2026-06-05 16:21:41.113675,"dk",0.1176,750,0.0269,0.0153,1.5264,0.1446,592,1.10608695652174
2026-06-05,"DAL @ LAS","1629491","Jessica Shepard","DAL","three point field goal","Jessica Shepard three point field goal",2026-06-05 16:21:41.113675,"dk",0.0152,6500,0.0178,0.0091,0.9058,0.033,2931,0.656376811594203
2026-06-05,"DAL @ LAS","1629491","Jessica Shepard","DAL","two point field goal","Jessica Shepard two point field goal",2026-06-05 16:21:41.113675,"dk",0.274,265,-0.1003,-0.0691,-6.9057,0.1737,476,-5.00413043478261
2026-06-05,"DAL @ LAS","1641652","Maddy Siegrist","DAL","three point field goal","Maddy Siegrist three point field goal",2026-06-05 16:21:41.113675,"dk",0.0476,2000,0.0043,0.0023,0.2261,0.0519,1826,0.163840579710145
2026-06-05,"DAL @ LAS","1641652","Maddy Siegrist","DAL","two point field goal","Maddy Siegrist two point field goal",2026-06-05 16:21:41.113675,"dk",0.1667,500,-0.0173,-0.0104,-1.0407,0.1493,570,-0.754130434782609
2026-06-05,"DAL @ LAS","1642784","Paige Bueckers","DAL","three point field goal","Paige Bueckers three point field goal",2026-06-05 16:21:41.113675,"dk",0.0714,1300,-0.0241,-0.013,-1.2959,0.0474,2011,-0.939057971014493
2026-06-05,"DAL @ LAS","1642784","Paige Bueckers","DAL","two point field goal","Paige Bueckers two point field goal",2026-06-05 16:21:41.113675,"dk",0.2222,350,-0.0473,-0.0304,-3.0405,0.1749,472,-2.20326086956522
2026-06-05,"DAL @ LAS","1643425","Azzi Fudd","DAL","three point field goal","Azzi Fudd three point field goal",2026-06-05 16:21:41.113675,"dk",0.0769,1200,-0.0039,-0.0021,-0.2087,0.0731,1269,-0.151231884057971
2026-06-05,"DAL @ LAS","1643425","Azzi Fudd","DAL","two point field goal","Azzi Fudd two point field goal",2026-06-05 16:21:41.113675,"dk",0.1429,600,-0.0521,-0.0304,-3.0364,0.0908,1001,-2.20028985507246
2026-06-05,"DAL @ LAS","203014","Nneka Ogwumike","LAS","three point field goal","Nneka Ogwumike three point field goal",2026-06-05 16:21:41.113675,"dk",0.0714,1300,-0.0071,-0.0038,-0.3829,0.0643,1455,-0.277463768115942
2026-06-05,"DAL @ LAS","203014","Nneka Ogwumike","LAS","two point field goal","Nneka Ogwumike two point field goal",2026-06-05 16:21:41.113675,"dk",0.2041,390,-0.0388,-0.0244,-2.4366,0.1653,505,-1.76565217391304
2026-06-05,"DAL @ LAS","204324","Dearica Hamby","LAS","three point field goal","Dearica Hamby three point field goal",2026-06-05 16:21:41.113675,"dk",0.0244,4000,0.0153,0.0078,0.7847,0.0397,2419,0.568623188405797
2026-06-05,"DAL @ LAS","204324","Dearica Hamby","LAS","two point field goal","Dearica Hamby two point field goal",2026-06-05 16:21:41.113675,"dk",0.274,265,-0.0851,-0.0586,-5.8607,0.1889,429,-4.24688405797101
2026-06-05,"DAL @ LAS","204365","Erica Wheeler","LAS","three point field goal","Erica Wheeler three point field goal",2026-06-05 16:21:41.113675,"dk",0.0526,1800,0.001,5e-04,0.0547,0.0537,1763,0.0396376811594203
2026-06-05,"DAL @ LAS","204365","Erica Wheeler","LAS","two point field goal","Erica Wheeler two point field goal",2026-06-05 16:21:41.113675,"dk",0.1,900,0.0159,0.0088,0.8832,0.1159,763,0.64
2026-06-05,"PHX @ PDX","1629484","Megan Gustafson","PDX","three point field goal","Megan Gustafson three point field goal",2026-06-05 16:21:41.113675,"dk",0.0526,1800,0.0018,0.001,0.0971,0.0545,1736,0.0703623188405797
2026-06-05,"PHX @ PDX","1629484","Megan Gustafson","PDX","two point field goal","Megan Gustafson two point field goal",2026-06-05 16:21:41.113675,"dk",0.125,700,0.0025,0.0014,0.1445,0.1275,684,0.104710144927536
2026-06-05,"PHX @ PDX","1629524","Bridget Carleton","PDX","three point field goal","Bridget Carleton three point field goal",2026-06-05 16:21:41.113675,"dk",0.0909,1000,-0.0282,-0.0155,-1.5504,0.0627,1494,-1.12347826086957
2026-06-05,"PHX @ PDX","1629524","Bridget Carleton","PDX","two point field goal","Bridget Carleton two point field goal",2026-06-05 16:21:41.113675,"dk",0.1333,650,-0.0177,-0.0102,-1.0186,0.1157,764,-0.738115942028986
2026-06-05,"PHX @ PDX","1630442","Natasha Mack","PHX","three point field goal","Natasha Mack three point field goal",2026-06-05 16:21:41.113675,"dk",0.0132,7500,0.0209,0.0106,1.0586,0.0341,2837,0.767101449275362
2026-06-05,"PHX @ PDX","1630442","Natasha Mack","PHX","two point field goal","Natasha Mack two point field goal",2026-06-05 16:21:41.113675,"dk",0.2381,320,-0.0673,-0.0442,-4.416,0.1708,485,-3.2
2026-06-05,"PHX @ PDX","1631083","Emily Engstler","PDX","three point field goal","Emily Engstler three point field goal",2026-06-05 16:21:41.113675,"dk",0.1053,850,-0.0372,-0.0208,-2.0793,0.0681,1369,-1.50673913043478
2026-06-05,"PHX @ PDX","1631083","Emily Engstler","PDX","two point field goal","Emily Engstler two point field goal",2026-06-05 16:21:41.113675,"dk",0.1538,550,-0.0116,-0.0069,-0.6872,0.1422,603,-0.497971014492754
2026-06-05,"PHX @ PDX","1642296","Nyadiew Puoch","PDX","three point field goal","Nyadiew Puoch three point field goal",2026-06-05 16:21:41.113675,"dk",0.0556,1700,-0.0105,-0.0055,-0.5535,0.0451,2117,-0.401086956521739
2026-06-05,"PHX @ PDX","1642296","Nyadiew Puoch","PDX","two point field goal","Nyadiew Puoch two point field goal",2026-06-05 16:21:41.113675,"dk",0.1429,600,0.0027,0.0015,0.1549,0.1455,587,0.112246376811594
2026-06-05,"PHX @ PDX","1642304","Carla Leite","PDX","three point field goal","Carla Leite three point field goal",2026-06-05 16:21:41.113675,"dk",0.0625,1500,-0.0021,-0.0011,-0.1102,0.0604,1555,-0.0798550724637681
